Order_ID,Order_Date,Customer_ID,State,City,Category,Product,Quantity,Unit_Price,Discount_%,Sales,Profit,Payment_Method
100001,2024-11-23,CUST1279,Maharashtra,Mumbai,Electronics,Laptop,3,55000,5.0,156750.0,27833.59,UPI
100002,2023-01-28,CUST1287,Maharashtra,Mumbai,Home,Mixer,1,2800,0.0,2800.0,282.59,Card
100003,2023-06-13,CUST1216,Punjab,Ludhiana,Home,Mixer,4,2800,20.0,8960.0,1400.54,Cash
100004,2024-01-03,CUST1176,Gujarat,Ahmedabad,Clothing,T-Shirt,2,800,10.0,1440.0,283.03,Wallet
100005,2023-10-28,CUST1185,Gujarat,Surat,Clothing,T-Shirt,4,800,20.0,2560.0,810.54,Wallet
100006,2025-05-25,CUST1119,Maharashtra,Pune,Furniture,Sofa,1,25000,0.0,25000.0,3256.65,UPI
100007,2024-11-17,CUST1136,Delhi,Delhi,Home,Fan,4,2200,10.0,7920.0,1215.73,UPI
100008,2024-10-17,CUST1285,Uttar Pradesh,Lucknow,Furniture,Sofa,2,25000,5.0,47500.0,6953.52,Card
100009,2023-08-05,CUST1290,Karnataka,Bengaluru,Clothing,T-Shirt,2,800,0.0,1600.0,389.52,Cash
100010,2023-09-10,CUST1287,Uttar Pradesh,Lucknow,Furniture,Sofa,4,25000,15.0,85000.0,12580.8,Wallet
100011,2023-05-22,CUST1260,Madhya Pradesh,Indore,Clothing,Jacket,5,3500,15.0,14875.0,4547.1,Net Banking
100012,2024-01-30,CUST1195,Delhi,Delhi,Electronics,Laptop,1,55000,5.0,52250.0,9086.62,Wallet
100013,2024-07-03,CUST1136,Rajasthan,Jaipur,Home,Cookware,3,4500,20.0,10800.0,2235.23,Cash
100014,2025-06-15,CUST1134,Uttar Pradesh,Lucknow,Electronics,Keyboard,4,1200,5.0,4560.0,523.98,Wallet
100015,2025-02-19,CUST1082,Haryana,Gurugram,Furniture,Sofa,1,25000,10.0,22500.0,3256.22,Wallet
100016,2025-05-01,CUST1157,Gujarat,Surat,Electronics,Keyboard,4,1200,0.0,4800.0,610.58,Card
100017,2025-02-17,CUST1272,Gujarat,Surat,Electronics,Mouse,5,700,0.0,3500.0,457.79,Card
100018,2024-09-13,CUST1216,Delhi,Delhi,Furniture,Sofa,4,25000,20.0,80000.0,11712.55,Card
100019,2024-04-07,CUST1061,Karnataka,Bengaluru,Furniture,Sofa,3,25000,15.0,63750.0,9107.67,Card
100020,2023-01-08,CUST1036,Madhya Pradesh,Indore,Furniture,Chair,3,3500,0.0,10500.0,1785.2,UPI
100021,2024-05-12,CUST1109,Gujarat,Ahmedabad,Furniture,Chair,1,3500,10.0,3150.0,454.69,Wallet
100022,2025-04-06,CUST1208,Uttar Pradesh,Lucknow,Furniture,Sofa,5,25000,20.0,100000.0,14596.92,Card
100023,2025-01-16,CUST1027,Tamil Nadu,Chennai,Electronics,Laptop,4,55000,10.0,198000.0,35379.84,UPI
100024,2024-04-04,CUST1071,Maharashtra,Mumbai,Electronics,Monitor,3,12000,0.0,36000.0,6344.41,Net Banking
100025,2025-05-26,CUST1281,Gujarat,Surat,Furniture,Desk,4,8000,5.0,30400.0,6274.39,UPI
100026,2023-08-07,CUST1205,Delhi,Delhi,Electronics,Laptop,1,55000,5.0,52250.0,9136.46,UPI
100027,2024-12-14,CUST1284,Punjab,Ludhiana,Furniture,Desk,1,8000,15.0,6800.0,1317.64,Net Banking
100028,2023-02-28,CUST1025,Rajasthan,Jaipur,Furniture,Chair,3,3500,5.0,9975.0,1608.41,Wallet
100029,2023-03-12,CUST1034,Rajasthan,Jaipur,Home,Cookware,5,4500,5.0,21375.0,4696.9,Card
100030,2024-03-05,CUST1298,Madhya Pradesh,Indore,Home,Mixer,5,2800,5.0,13300.0,2331.28,Wallet
100031,2024-11-18,CUST1153,Maharashtra,Pune,Clothing,Jeans,2,1800,10.0,3240.0,743.9,Net Banking
100032,2023-08-07,CUST1259,Madhya Pradesh,Indore,Clothing,T-Shirt,1,800,15.0,680.0,155.03,Cash
100033,2025-05-03,CUST1278,Karnataka,Bengaluru,Furniture,Desk,1,8000,5.0,7600.0,1551.01,Cash
100034,2025-01-30,CUST1283,Punjab,Ludhiana,Electronics,Keyboard,1,1200,5.0,1140.0,-199.57,Card
100035,2025-05-23,CUST1135,Karnataka,Bengaluru,Clothing,Jeans,5,1800,5.0,8550.0,2205.63,Wallet
100036,2023-12-08,CUST1066,Tamil Nadu,Chennai,Home,Fan,1,2200,0.0,2200.0,326.16,Cash
100037,2024-12-08,CUST1076,Tamil Nadu,Chennai,Furniture,Sofa,4,25000,20.0,80000.0,11899.66,Wallet
100038,2023-11-12,CUST1186,Delhi,Delhi,Electronics,Keyboard,5,1200,20.0,4800.0,948.65,UPI
100039,2025-02-06,CUST1079,Karnataka,Bengaluru,Clothing,T-Shirt,2,800,0.0,1600.0,71.77,Card
100040,2024-02-26,CUST1127,Delhi,Delhi,Furniture,Chair,4,3500,0.0,14000.0,2397.93,Cash
100041,2025-04-16,CUST1235,Rajasthan,Kota,Furniture,Sofa,1,25000,15.0,21250.0,3037.4,Cash
100042,2025-06-04,CUST1035,Maharashtra,Pune,Clothing,T-Shirt,2,800,0.0,1600.0,362.28,Cash
100043,2023-04-29,CUST1133,Haryana,Gurugram,Clothing,Jacket,5,3500,15.0,14875.0,4287.34,Card
100044,2023-11-18,CUST1223,Tamil Nadu,Chennai,Clothing,T-Shirt,1,800,20.0,640.0,-153.85,Wallet
100045,2023-01-02,CUST1266,Punjab,Ludhiana,Electronics,Monitor,5,12000,5.0,57000.0,9891.05,Wallet
100046,2023-05-08,CUST1153,Karnataka,Bengaluru,Furniture,Desk,4,8000,0.0,32000.0,6691.48,Wallet
100047,2023-07-16,CUST1215,Tamil Nadu,Chennai,Clothing,Jacket,4,3500,10.0,12600.0,3732.51,Net Banking
100048,2023-08-04,CUST1220,Tamil Nadu,Chennai,Furniture,Sofa,5,25000,10.0,112500.0,16688.26,Wallet
100049,2025-03-26,CUST1086,Maharashtra,Pune,Clothing,Jeans,4,1800,15.0,6120.0,1428.82,UPI
100050,2023-08-19,CUST1101,Gujarat,Ahmedabad,Clothing,Jacket,5,3500,10.0,15750.0,4687.24,Card
100051,2024-10-06,CUST1294,Madhya Pradesh,Indore,Electronics,Laptop,2,55000,15.0,93500.0,16575.06,Card
100052,2025-05-31,CUST1054,Delhi,Delhi,Home,Fan,4,2200,5.0,8360.0,1053.1,Net Banking
100053,2023-05-05,CUST1233,Rajasthan,Jaipur,Furniture,Chair,5,3500,15.0,14875.0,2512.14,Card
100054,2024-03-29,CUST1258,Madhya Pradesh,Indore,Home,Cookware,5,4500,20.0,18000.0,3842.48,Net Banking
100055,2023-10-11,CUST1266,Punjab,Ludhiana,Home,Mixer,4,2800,15.0,9520.0,1476.06,Net Banking
100056,2023-11-24,CUST1276,Punjab,Ludhiana,Furniture,Desk,4,8000,0.0,32000.0,6867.73,UPI
100057,2024-02-22,CUST1169,Delhi,Delhi,Furniture,Chair,2,3500,15.0,5950.0,1111.1,Wallet
100058,2024-08-21,CUST1010,Tamil Nadu,Chennai,Home,Fan,1,2200,5.0,2090.0,-80.98,Wallet
100059,2025-05-05,CUST1214,Punjab,Ludhiana,Home,Fan,1,2200,10.0,1980.0,-77.65,Wallet
100060,2023-12-11,CUST1207,Tamil Nadu,Chennai,Furniture,Desk,2,8000,10.0,14400.0,3104.94,Card
100061,2024-11-09,CUST1013,Rajasthan,Kota,Home,Mixer,5,2800,20.0,11200.0,1923.65,UPI
100062,2023-08-05,CUST1232,Rajasthan,Kota,Home,Mixer,4,2800,5.0,10640.0,1907.4,Cash
100063,2025-02-06,CUST1276,Punjab,Ludhiana,Clothing,Jeans,3,1800,15.0,4590.0,1115.36,UPI
100064,2023-01-21,CUST1078,Rajasthan,Jaipur,Clothing,T-Shirt,1,800,0.0,800.0,140.29,Card
100065,2025-02-24,CUST1188,Maharashtra,Pune,Furniture,Desk,1,8000,20.0,6400.0,1043.24,Card
100066,2024-08-12,CUST1192,Madhya Pradesh,Indore,Electronics,Mouse,3,700,0.0,2100.0,57.0,Net Banking
100067,2024-09-06,CUST1061,Gujarat,Surat,Furniture,Chair,5,3500,5.0,16625.0,2892.37,Wallet
100068,2023-12-16,CUST1006,Karnataka,Bengaluru,Electronics,Keyboard,5,1200,15.0,5100.0,844.32,Net Banking
100069,2025-01-21,CUST1267,Uttar Pradesh,Lucknow,Home,Mixer,4,2800,10.0,10080.0,1770.03,Cash
